Symbol,Price,Ask,Day Range,Day Low,Day High,52 wk Low,52 wk High,Change from 50 days,Change from 200 days,Last Trade Date,Commission,AMUM Proj,Yahoo Rating,CNN Rating,The Street Rating,Market Watch
"BTG",2.21,2.75,"2.06 - 2.24",2.06,2.24,1.78,4.46,-0.0594,-0.6892,"7/5/2013",-0.02,amum proj,No Opinion,No Opinion,No Opinion,Strong Buy
"AQQ",2.41,3.54,"N/A - N/A",N/A,N/A,1.39,5.89,-0.2959,-0.1929,"7/2/2013",0.00,amum proj,No Opinion,No Opinion,Sell,No Opinion
"GV",2.28,3.29,"2.162 - 2.34",2.162,2.34,1.45,5.67,-0.0277,-0.6781,"7/5/2013",+0.04,amum proj,Buy,No Opinion,Buy,No Opinion
"NAK",2.00,2.31,"1.941 - 2.04",1.941,2.04,1.85,5.40,-0.3162,-0.9582,"7/5/2013",-0.02,amum proj,Buy,Buy,No Opinion,Strong Buy
"BVX",2.69,4.75,"2.61 - 2.86",2.61,2.86,2.10,4.79,-0.5612,-0.2984,"7/5/2013",-0.11,amum proj,No Opinion,No Opinion,Hold,No Opinion
"OGEN",2.81,3.68,"2.71 - 2.90",2.71,2.90,1.75,4.12,-0.2465,-0.2847,"7/5/2013",-0.19,amum proj,Strong Buy,No Opinion,Sell,No Opinion
"AZC",2.16,2.36,"2.15 - 2.23",2.15,2.23,1.60,3.13,-0.0994,-0.3114,"7/5/2013",0.00,amum proj,Buy,Buy,No Opinion,Buy
"NG",2.00,2.04,"1.97 - 2.08",1.97,2.08,1.90,6.30,-0.2824,-1.3973,"7/5/2013",-0.08,amum proj,Hold,Buy,No Opinion,Hold
"UEC",2.13,2.16,"2.02 - 2.15",2.02,2.15,1.40,3.02,+0.1247,-0.0049,"7/5/2013",+0.04,amum proj,Buy,Buy,Sell,Buy
"OBT",2.5101,2.63,"N/A - N/A",N/A,N/A,2.43,7.00,-0.082,-0.9101,"7/3/2013",0.00,amum proj,No Opinion,No Opinion,No Opinion,No Opinion
"IMUC",2.07,2.26,"2.03 - 2.09",2.03,2.09,1.51,3.65,-0.2373,-0.2934,"7/5/2013",+0.03,amum proj,Buy,Buy,No Opinion,Strong Buy
"VII",2.65,4.89,"2.63 - 2.74",2.63,2.74,2.33,3.46,+0.0359,-0.0755,"7/5/2013",+0.056,amum proj,No Opinion,No Opinion,Sell,No Opinion
