Company Name,High,Low,Last Price,Prv Close,Change,Day Volume,FiveDay AvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,Rating,Api
Shreyas Shippin,171.35,171.35,171.35,163.20,8.15,4323,35066,21311,21608,3 star,http://www.moneycontrol.com/india/stockpricequote/shipping/shreyasshipping/SS12
Oswal Minerals,25.25,25.25,25.25,24.05,1.20,3,981,794,460,3 star,http://www.moneycontrol.com/india/stockpricequote/miningminerals/oswalminerals/OM02
Sical Logistics,167.55,166.50,167.55,159.60,7.95,6477,51294,79969,76372,2 star,http://www.moneycontrol.com/india/stockpricequote/trading/sicallogistics/SL15
KLRF,31.85,29.55,31.85,30.35,1.50,3961,1356,1107,1134,5 star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/klrf/KLR
Oswal Minerals,25.25,25.25,25.25,24.05,1.20,3,981,794,460,3 star,http://www.moneycontrol.com/india/stockpricequote/miningminerals/oswalminerals/OM02
Neo Corp,39.45,36.80,39.45,37.60,1.85,65830,92495,108732,78231,2 star,http://www.moneycontrol.com/india/stockpricequote/packaging/neocorpinternational/NS02
Gillanders Arbu,71.90,66.10,70,66.70,3.30,7642,8909,16859,9281,2 star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/gillandersarbuthnotco/GAC03
SKM Egg Product,112.65,102,112.65,107.30,5.35,685966,143229,107509,189204,4 star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM
Gillanders Arbu,71.90,66.10,70,66.70,3.30,7642,8909,16859,9281,2 star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/gillandersarbuthnotco/GAC03
Shreyas Shippin,171.35,171.35,171.35,163.20,8.15,4323,35066,21311,21608,3 star,http://www.moneycontrol.com/india/stockpricequote/shipping/shreyasshipping/SS12
KLRF,31.85,29.55,31.85,30.35,1.50,3961,1356,1107,1134,5 star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/klrf/KLR
Sical Logistics,167.55,166.50,167.55,159.60,7.95,6477,51294,79969,76372,2 star,http://www.moneycontrol.com/india/stockpricequote/trading/sicallogistics/SL15
Neo Corp,39.45,36.80,39.45,37.60,1.85,65830,92495,108732,78231,2 star,http://www.moneycontrol.com/india/stockpricequote/packaging/neocorpinternational/NS02
SKM Egg Product,112.65,102,112.65,107.30,5.35,685966,143229,107509,189204,4 star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM
Emkay Global,56.50,52,56.50,53.85,2.65,7243,4169,17269,14643,2 star,http://www.moneycontrol.com/india/stockpricequote/finance-general/emkayglobalfinancialservices/EGF
Emkay Global,56.50,52,56.50,53.85,2.65,7243,4169,17269,14643,2 star,http://www.moneycontrol.com/india/stockpricequote/finance-general/emkayglobalfinancialservices/EGF
Aro Granite,92,86.10,91,86.95,4.05,19565,77373,113883,57118,2 star,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01
Aro Granite,92,86.10,91,86.95,4.05,19565,77373,113883,57118,2 star,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01
Vimta Labs,79.50,75,79,75.40,3.60,41705,70886,69541,64230,3 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vimtalabs/VL04
Vimta Labs,79.50,75,79,75.40,3.60,41705,70886,69541,64230,3 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vimtalabs/VL04
Nahar Ent,64.60,61,63,60.20,2.80,16424,10179,7694,5429,5 star,http://www.moneycontrol.com/india/stockpricequote/textiles-compositemills/naharindustrialenterprises/NIE
Nahar Ent,64.60,61,63,60.20,2.80,16424,10179,7694,5429,5 star,http://www.moneycontrol.com/india/stockpricequote/textiles-compositemills/naharindustrialenterprises/NIE
Shreyans Ind,35,30.50,32,30.65,1.35,889,815,722,599,5 star,http://www.moneycontrol.com/india/stockpricequote/paper/shreyansindustries/SI20
Motilal Oswal,241,228.50,239.50,229.25,10.25,246633,34466,33080,36414,4 star,http://www.moneycontrol.com/india/stockpricequote/finance-general/motilaloswalfinancialservices/MOF01
Motilal Oswal,241,228.50,239.50,229.25,10.25,246633,34466,33080,36414,4 star,http://www.moneycontrol.com/india/stockpricequote/finance-general/motilaloswalfinancialservices/MOF01
Shreyans Ind,35,30.50,32,30.65,1.35,889,815,722,599,5 star,http://www.moneycontrol.com/india/stockpricequote/paper/shreyansindustries/SI20
Chemfab Alkalie,93.90,89,93,89.10,3.90,846,9659,10740,10121,2 star,http://www.moneycontrol.com/india/stockpricequote/chemicals/chemfabalkalies/CA01
IGL,458.80,437,456.50,437.60,18.90,558570,540377,564660,518149,2 star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Bombay Burmah,438.90,412.55,430.50,412.55,17.95,503263,1112988,688217,384955,3 star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/bombayburmahtradingcorporation/BBT
Jubilant Ind,79,71.50,76.15,73,3.15,3917,3096,3437,3349,4 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantindustries/JI10
Jubilant Ind,79,71.50,76.15,73,3.15,3917,3096,3437,3349,4 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantindustries/JI10
Chemfab Alkalie,93.90,89,93,89.10,3.90,846,9659,10740,10121,2 star,http://www.moneycontrol.com/india/stockpricequote/chemicals/chemfabalkalies/CA01
Guj State Petro,114.80,109.90,112.40,107.90,4.50,3899663,2714876,1764438,1164620,5 star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
Bombay Burmah,438.90,412.55,430.50,412.55,17.95,503263,1112988,688217,384955,3 star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/bombayburmahtradingcorporation/BBT
Birla Nifty ETF,85.50,84.95,85.45,82,3.45,216,311,470,377,2 star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/birlasunlifeniftyetf/BSL03
Birla Nifty ETF,85.50,84.95,85.45,82,3.45,216,311,470,377,2 star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/birlasunlifeniftyetf/BSL03
Rel Capital,525,504.80,522,501.75,20.25,6245381,5912327,5355096,3693631,5 star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/reliancecapital/RC
Guj State Petro,114.80,109.90,112.40,107.90,4.50,3899663,2714876,1764438,1164620,5 star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
Rel Capital,525,504.80,522,501.75,20.25,6245381,5912327,5355096,3693631,5 star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/reliancecapital/RC
IGL,458.80,437,456.50,437.60,18.90,558570,540377,564660,518149,2 star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Savera Ind,48,45,47.70,45.90,1.80,1129,3630,4045,4011,2 star,http://www.moneycontrol.com/india/stockpricequote/hotels/saveraindustries/SH
Liberty Shoes,267.40,254,266.90,256.85,10.05,202636,68234,77798,128161,4 star,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/libertyshoes/LS02
Savera Ind,48,45,47.70,45.90,1.80,1129,3630,4045,4011,2 star,http://www.moneycontrol.com/india/stockpricequote/hotels/saveraindustries/SH
Jindal Poly Inv,111,106.80,111,106.80,4.20,1232,4374,7712,5417,2 star,http://www.moneycontrol.com/india/stockpricequote/finance-general/jindalpolyinvestmentfinancecompany/JPI02
Jindal Poly Inv,111,106.80,111,106.80,4.20,1232,4374,7712,5417,2 star,http://www.moneycontrol.com/india/stockpricequote/finance-general/jindalpolyinvestmentfinancecompany/JPI02
Liberty Shoes,267.40,254,266.90,256.85,10.05,202636,68234,77798,128161,4 star,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/libertyshoes/LS02
Jocil,129.80,123.30,129.80,125,4.80,214,2009,3335,3148,2 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jocil/J01
Nahar Poly Film,31.30,29,31,29.85,1.15,2588,5475,18244,8850,2 star,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/naharpolyfilms/NIH
Nahar Poly Film,31.30,29,31,29.85,1.15,2588,5475,18244,8850,2 star,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/naharpolyfilms/NIH
Jocil,129.80,123.30,129.80,125,4.80,214,2009,3335,3148,2 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jocil/J01
Strides Arcolab,778.90,738.25,764,736.35,27.65,382486,181429,201997,264370,4 star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/stridesarcolab/SA10
Strides Arcolab,778.90,738.25,764,736.35,27.65,382486,181429,201997,264370,4 star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/stridesarcolab/SA10
Vadilal Ind,286.85,271.10,281.45,271.40,10.05,51169,190332,156117,60377,3 star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilalindustries/VI01
Pratibha Ind,54.70,53.60,54,52.05,1.95,255486,230029,420428,287360,2 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/pratibhaindustries/PI33
Pratibha Ind,54.70,53.60,54,52.05,1.95,255486,230029,420428,287360,2 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/pratibhaindustries/PI33
Vadilal Ind,286.85,271.10,281.45,271.40,10.05,51169,190332,156117,60377,3 star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilalindustries/VI01
Energy Dev,22.45,20.10,21.15,20.40,0.75,2412,16795,10828,5303,3 star,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/energydevelopmentcompany/EDC
Energy Dev,22.45,20.10,21.15,20.40,0.75,2412,16795,10828,5303,3 star,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/energydevelopmentcompany/EDC
Eveready Ind,193.80,181.95,189.60,182.95,6.65,1836818,1488025,1194624,808650,5 star,http://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02
Eveready Ind,193.80,181.95,189.60,182.95,6.65,1836818,1488025,1194624,808650,5 star,http://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02
Jubilant Food,1452.50,1396.50,1452,1401.90,50.10,249985,239060,328362,250823,2 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04
Harrisons Malay,62.50,58.25,60.85,58.75,2.10,73418,35415,50105,45984,4 star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/harrisonsmalyalam/HM02
Jubilant Food,1452.50,1396.50,1452,1401.90,50.10,249985,239060,328362,250823,2 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04
Harrisons Malay,62.50,58.25,60.85,58.75,2.10,73418,35415,50105,45984,4 star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/harrisonsmalyalam/HM02
Bafna Pharma,35.50,33.20,35.30,34.10,1.20,29665,132688,132152,74510,3 star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01
Bafna Pharma,35.50,33.20,35.30,34.10,1.20,29665,132688,132152,74510,3 star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01
Tata Global Bev,162.40,155.70,160.80,155.30,5.50,4007183,1676568,2312338,2319660,4 star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tataglobalbeverage/TT
Tata Global Bev,162.40,155.70,160.80,155.30,5.50,4007183,1676568,2312338,2319660,4 star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tataglobalbeverage/TT
Automotive Axle,738,700,729.90,705.30,24.60,8218,37645,31042,17835,3 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06
Automotive Axle,738,700,729.90,705.30,24.60,8218,37645,31042,17835,3 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06
Voltamp Trans,738,687,713.95,689.70,24.25,12500,7045,6661,4583,5 star,http://www.moneycontrol.com/india/stockpricequote/power-transmissionequipment/voltamptransformers/VT9
Voltamp Trans,738,687,713.95,689.70,24.25,12500,7045,6661,4583,5 star,http://www.moneycontrol.com/india/stockpricequote/power-transmissionequipment/voltamptransformers/VT9
OCL Iron,22.70,22,22.55,21.80,0.75,85,10116,12121,11494,2 star,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/oclironsteel/OCL03
OCL Iron,22.70,22,22.55,21.80,0.75,85,10116,12121,11494,2 star,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/oclironsteel/OCL03
Kemrock Indus,35.05,33,34.80,33.65,1.15,12224,12087,37523,29239,2 star,http://www.moneycontrol.com/india/stockpricequote/plastics/kemrockindustriesexports/KIE
Kemrock Indus,35.05,33,34.80,33.65,1.15,12224,12087,37523,29239,2 star,http://www.moneycontrol.com/india/stockpricequote/plastics/kemrockindustriesexports/KIE
Sah Petroleums,42.90,40.40,41.50,40.15,1.35,102500,863265,781342,292880,3 star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/sahpetroleums/SP36
Manaksia,134.90,128.05,133.25,128.85,4.40,258237,417172,229694,138285,3 star,http://www.moneycontrol.com/india/stockpricequote/steel-rolling/manaksia/M16
Manaksia,134.90,128.05,133.25,128.85,4.40,258237,417172,229694,138285,3 star,http://www.moneycontrol.com/india/stockpricequote/steel-rolling/manaksia/M16
Sah Petroleums,42.90,40.40,41.50,40.15,1.35,102500,863265,781342,292880,3 star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/sahpetroleums/SP36
Monsanto India,2920,2837,2873,2782.35,90.65,32447,23114,20187,30960,4 star,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/monsantoindia/MI39
Monsanto India,2920,2837,2873,2782.35,90.65,32447,23114,20187,30960,4 star,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/monsantoindia/MI39
Tips Industries,80.80,76.65,77.70,75.25,2.45,108761,80930,191693,87335,2 star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tipsindustries/TI25
UCAL Fuel,144.40,139.80,141.25,136.85,4.40,162961,331252,373637,225611,2 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
UCAL Fuel,144.40,139.80,141.25,136.85,4.40,162961,331252,373637,225611,2 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
Tips Industries,80.80,76.65,77.70,75.25,2.45,108761,80930,191693,87335,2 star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tipsindustries/TI25
JK Tyre & Ind,624,600,616.75,597.55,19.20,942601,1479311,1010414,917063,3 star,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
JK Tyre & Ind,624,600,616.75,597.55,19.20,942601,1479311,1010414,917063,3 star,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
