Company Name,High,Low,Last Price,Prv Close,Change,% Gain,API
Sical Logistics,168.10,155,168.10,160.10,8,null,/india/stockpricequote/trading/sicallogistics/SL15 
Minda Corp,656.35,656.35,656.35,625.10,31.25,5,/india/stockpricequote/autoancillaries/mindacorporation/MC23 
Asian Granito,163.85,160.25,163.85,156.05,7.80,5,/india/stockpricequote/ceramicsgranite/asiangranitoindia/AGI04 
KSE,461.80,461.80,461.80,439.85,21.95,5,/india/stockpricequote/edibleoilssolventextraction/kse/KSE 
Kalyani Forge,248.05,236.55,248.05,236.25,11.80,4.99,/india/stockpricequote/castingsforgings/kalyaniforge/KF02 
Welspun Ent,335.45,335.45,335.45,319.50,15.95,4.99,/india/stockpricequote/miscellaneous/welspunenterprises/WE01 
Maithan Alloys,219.70,214.10,219.70,209.25,10.45,4.99,/india/stockpricequote/miningminerals/maithanalloys/MA04 
RamkrishnaForge,311.70,300,311.70,296.90,14.80,4.99,/india/stockpricequote/castingsforgings/ramkrishnaforgings/RF17 
Accel Frontline,92.80,87,92.80,88.40,4.40,4.98,/india/stockpricequote/computers-softwaremediumsmall/accelfrontline/AF29 
SHARIA BEES,194.95,190,194.95,185.70,9.25,4.98,/india/stockpricequote/finance-investments/goldmansachsspcnxniftyshariahindexexchange/SBE02 
SKM Egg Product,125.65,125.65,125.65,119.70,5.95,4.98,/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM 
Shreyas Shippin,116.10,116.10,116.10,110.60,5.50,4.97,/india/stockpricequote/shipping/shreyasshipping/SS12 
Delta Magnets,35.95,35.95,35.95,34.25,1.70,4.97,/india/stockpricequote/electricals/deltamagnets/DM04 
Vinyl Chemicals,65.60,61.50,65.60,62.50,3.10,4.96,/india/stockpricequote/chemicals/vinylchemicals(india)/VCI02 
Welspun Project,37.20,37.15,37.20,35.45,1.75,4.96,/india/stockpricequote/constructioncontracting-civil/welspunprojects/MSK 
V2 Retail,43.90,43.90,43.90,41.85,2.05,4.94,/india/stockpricequote/trading/v2retail/VR02 
Neo Corp,34.35,33,34.35,32.75,1.60,4.90,/india/stockpricequote/packaging/neocorpinternational/NS02 
Mcnally Bh Engg,88.45,81.25,87.60,83.55,4.05,4.89,/india/stockpricequote/engineering/mcnallybharatengineering/MBE 
Lyka Labs,25.95,23.60,25.95,24.75,1.20,4.85,/india/stockpricequote/pharmaceuticals/lykalabs/LL02 
Solar Ind,2678.10,2461.05,2649.80,2527.50,122.30,4.85,/india/stockpricequote/chemicals/solarindustriesindia/SII04 
Nitco,30.35,28.10,30.35,28.95,1.40,4.84,/india/stockpricequote/ceramicsgranite/nitco/N52 
STEL Holdings,30.65,28,30.60,29.20,1.40,4.84,/india/stockpricequote/finance-investments/stelholdings/STE01 
Bombay Burmah,319.90,306.20,315.65,301.25,14.40,4.79,/india/stockpricequote/plantations-teacoffee/bombayburmahtradingcorporation/BBT 
Dalmia Bharat,487,459,480.35,458.60,21.75,4.78,/india/stockpricequote/cement-major/dalmiabharat/DBE 
Tata Coffee,984,923,969.75,926.15,43.60,4.74,/india/stockpricequote/plantations-teacoffee/tatacoffee/TC14 
