Company Name,High,Low,Last Price,Prv Close,Change,Day Volume,FiveDay AvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,Rating,Api
Asian Granito,163.85,160.25,163.85,156.05,7.80,170292,80773,155776,103759,4 Star,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/asiangranitoindia/AGI04
Sical Logistics,168.10,155,168.10,160.10,8,123652,249646,143210,59507,3 Star,http://www.moneycontrol.com/india/stockpricequote/trading/sicallogistics/SL15
Minda Corp,656.35,656.35,656.35,625.10,31.25,684,158,157,350,4 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindacorporation/MC23
KSE,461.80,461.80,461.80,439.85,21.95,2173,2368,1560,808,3 Star,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/kse/KSE
Welspun Ent,335.45,335.45,335.45,319.50,15.95,1282,16595,20614,12776,2 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/welspunenterprises/WE01
Maithan Alloys,219.70,214.10,219.70,209.25,10.45,17349,13223,9979,3967,5 Star,http://www.moneycontrol.com/india/stockpricequote/miningminerals/maithanalloys/MA04
RamkrishnaForge,311.70,300,311.70,296.90,14.80,133986,62203,58595,23780,5 Star,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/ramkrishnaforgings/RF17
Accel Frontline,92.80,87,92.80,88.40,4.40,11279,24902,20742,10220,3 Star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/accelfrontline/AF29
SKM Egg Product,125.65,125.65,125.65,119.70,5.95,61495,185255,246517,193718,2 Star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM
Vinyl Chemicals,65.60,61.50,65.60,62.50,3.10,97379,95245,58785,29972,5 Star,http://www.moneycontrol.com/india/stockpricequote/chemicals/vinylchemicals(india)/VCI02
Welspun Project,37.20,37.15,37.20,35.45,1.75,6005,95534,73362,63230,3 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/welspunprojects/MSK
V2 Retail,43.90,43.90,43.90,41.85,2.05,46488,68807,65099,37692,3 Star,http://www.moneycontrol.com/india/stockpricequote/trading/v2retail/VR02
Neo Corp,34.35,33,34.35,32.75,1.60,154480,102213,93096,61933,5 Star,http://www.moneycontrol.com/india/stockpricequote/packaging/neocorpinternational/NS02
Mcnally Bh Engg,88.45,81.25,87.60,83.55,4.05,67748,42851,43710,51496,4 Star,http://www.moneycontrol.com/india/stockpricequote/engineering/mcnallybharatengineering/MBE
Lyka Labs,25.95,23.60,25.95,24.75,1.20,187886,118621,130921,142144,4 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lykalabs/LL02
Solar Ind,2678.10,2461.05,2649.80,2527.50,122.30,11891,5572,4005,3066,5 Star,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04
Nitco,30.35,28.10,30.35,28.95,1.40,43080,105512,107255,53756,2 Star,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/nitco/N52
STEL Holdings,30.65,28,30.60,29.20,1.40,3588,8686,5861,6070,3 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/stelholdings/STE01
Bombay Burmah,319.90,306.20,315.65,301.25,14.40,303589,286271,360982,205381,2 Star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/bombayburmahtradingcorporation/BBT
Dalmia Bharat,487,459,480.35,458.60,21.75,195282,41471,86765,35926,4 Star,http://www.moneycontrol.com/india/stockpricequote/cement-major/dalmiabharat/DBE
Tata Coffee,984,923,969.75,926.15,43.60,767607,65792,61807,67170,4 Star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tatacoffee/TC14
WABCO India,4399,4130,4291.90,4099.85,192.05,17481,20857,14126,8282,3 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/wabcoindia/WAB
Ansal Housing,32.80,31.50,32.25,30.80,1.45,83045,28529,39391,40966,4 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ansalhousingconstruction/AHC
Rashtriya Chem,72.45,69.05,71.80,68.60,3.20,4899979,2995749,3161702,1679472,4 Star,http://www.moneycontrol.com/india/stockpricequote/fertilisers/rashtriyachemicalsfertilisers/RCF01
Emkay Global,54.95,50.55,54.90,52.45,2.45,106342,9743,14697,10712,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-general/emkayglobalfinancialservices/EGF
Shemaroo Ent,174.50,164,172.75,165.10,7.65,123998,79776,68580,0,5 Star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/shemarooentertainment/SE03
