CompanyName,CurrentPrice,DayVolume,FiveDayAvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,VolumeRating,EPS,EPSRating,StandaloneProfit,Recommendation,News,API
SKM Egg Product,112.65,681843,143229,107509,189204,4 star,2.58,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM
Bliss GVS,74.05,247086,326676,187116,154119,3 star,5.23,1 star,,,30.10.2014@ Bliss GVS: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/blissgvspharma/BGV
Oswal Minerals,25.25,3,981,794,460,3 star,3.40,1 star,Yes,,20.08.2014@ Oswal Minerals standalone Jun '14 sales at Rs 207.26 crore,http://www.moneycontrol.com/india/stockpricequote/miningminerals/oswalminerals/OM02
Transformers,217.45,36858,13501,17129,11482,4 star,3.62,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/transformersrectifiersindia/TRI
Dynacons Sys,16.00,4500,2480,1950,2118,5 star,0.98,1 star,Yes,,14.11.2014@ Dynacons Sys standalone Sep '14 total income from operations at Rs 29.49 crore,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/dynaconssystemssolutions/DSS01
Info Drive Soft,4.95,20077,24438,26917,16978,2 star,0.07,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/infodrivesoftware/IDS01
Digjam,11.45,638998,544208,344474,215497,5 star,0.03,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/digjam/D05
Arrow Textiles,16.25,169863,40414,54947,24725,4 star,1.88,1 star,Yes,,06.11.2014@ Arrow Textiles standalone Sep '14 sales at Rs 11.61 crore,http://www.moneycontrol.com/india/stockpricequote/textilesweaving/arrowtextiles/AT20
Man Infra,34.45,2909760,6911769,3522851,1236532,3 star,5.77,1 star,,,25.11.2014@ Will launch 4-5 projects by Q3 end: Man Infraconstruction,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/maninfraconstruction/MI37
JK Tyre & Ind,616.70,889544,1479311,1010414,917063,3 star,32.80,2 star,,HOLD,25.11.2014@ Hold JK Tyre may test Rs 700-750: Nooresh Merani,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
Nakoda,2.75,13183,82010,158912,105877,2 star,2.47,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/nakoda/NTI
J Kumar Infra,437.00,27764,58159,90265,68048,2 star,30.23,2 star,Yes,,13.11.2014@ J Kumar Infra standalone Sep '14 sales at Rs 300.24 crore,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01
