Company Name,High,Low,Last Price,Prv Close,Change,% Gain,API
Oswal Minerals,25.25,25.25,25.25,24.05,1.20,null,/india/stockpricequote/miningminerals/oswalminerals/OM02 
SKM Egg Product,112.65,102,112.65,107.30,5.35,4.99,/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM 
Shreyas Shippin,171.35,171.35,171.35,163.20,8.15,4.99,/india/stockpricequote/shipping/shreyasshipping/SS12 
Kalyani Forge,232,232,232,221,11,4.99,/india/stockpricequote/castingsforgings/kalyaniforge/KF02 
Sical Logistics,167.55,166.50,167.55,159.60,7.95,4.98,/india/stockpricequote/trading/sicallogistics/SL15 
Petron Engg,167.75,159.25,167.75,159.80,7.95,4.98,/india/stockpricequote/engineering/petronengineeringconstruction/PEC01 
Gillanders Arbu,71.90,66.10,70,66.70,3.30,4.97,/india/stockpricequote/plantations-teacoffee/gillandersarbuthnotco/GAC03 
KLRF,31.85,29.55,31.85,30.35,1.50,4.95,/india/stockpricequote/foodprocessing/klrf/KLR 
Neo Corp,39.45,36.80,39.45,37.60,1.85,4.94,/india/stockpricequote/packaging/neocorpinternational/NS02 
Shilpi Cable,49.05,47.65,49.05,46.75,2.30,4.92,/india/stockpricequote/cables-telephone/shilpicabletechnologies/SCT02 
Emkay Global,56.50,52,56.50,53.85,2.65,4.92,/india/stockpricequote/finance-general/emkayglobalfinancialservices/EGF 
Ingersoll Rand,912.30,849,887,845.85,41.15,4.92,/india/stockpricequote/compressors/ingersollrand(india)/IRI01 
Vimta Labs,79.50,75,79,75.40,3.60,4.86,/india/stockpricequote/miscellaneous/vimtalabs/VL04 
Aro Granite,92,86.10,91,86.95,4.05,4.77,/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01 
Nahar Ent,64.60,61,63,60.20,2.80,4.66,/india/stockpricequote/textiles-compositemills/naharindustrialenterprises/NIE 
GKB Ophthalmics,45.50,45.50,45.50,43.55,1.95,4.65,/india/stockpricequote/personalcare/gkbophthalmics/GKB 
Motilal Oswal,241,228.50,239.50,229.25,10.25,4.48,/india/stockpricequote/finance-general/motilaloswalfinancialservices/MOF01 
