Company Name,Current Price,Day Volume,FiveDay AvgVolume,TenDay AvgVolume,ThirtyDay AvgVolume,Rating,Api
IFB Agro,314.55,297883,142072,98990,80439,5 star,http://www.moneycontrol.com/india/stockpricequote/chemicals/ifbagroindustries/IFB
Pioneer,22.15,32960,6513,3649,2178,5 star,http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/pioneerembroideries/PE
Gati,21.65,7918273,3485727,2078904,1209442,5 star,http://www.moneycontrol.com/india/stockpricequote/couriers/gati/G04
Allcargo,490.65,1327247,296538,192337,84002,5 star,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02
WS Industries,22.15,59604,6476,3829,2090,5 star,http://www.moneycontrol.com/india/stockpricequote/electricequipment/wsindustries/WSI
Hydro SandS Ind,349.70,10359,12069,16378,8453,2 star,http://www.moneycontrol.com/india/stockpricequote/plastics/hydrossindustries/HSS
Whirlpool,249.25,1084703,296201,349523,169855,4 star,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/whirlpoolindia/WI
Hitachi Home,27.80,1125040,185304,200200,225371,4 star,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/hitachihomelifesolutions/HHL
Sudarshan Chem,809.80,722961,38226,36733,78959,4 star,http://www.moneycontrol.com/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08
Triveni Engg,655.85,543189,702396,427912,192546,3 star,http://www.moneycontrol.com/india/stockpricequote/sugar/triveniengineeringindustries/TE10
IFB Industries,110.00,497735,281539,373191,228576,4 star,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/ifbindustries/IFB02
Mandhana Ind,335.45,68609,94868,60956,33923,3 star,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/mandhanaindustries/MI24
Welspun Ent,656.35,1282,16595,20614,12776,2 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/welspunenterprises/WE01
SKM Egg Product,306.20,61495,185255,246517,193718,2 star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM
Minda Corp,512.85,684,158,157,350,4 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindacorporation/MC23
Welspun Project,43.90,6005,95534,73362,63230,3 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/welspunprojects/MSK
V2 Retail,116.10,46488,68807,65099,37692,3 star,http://www.moneycontrol.com/india/stockpricequote/trading/v2retail/VR02
KSE,19.70,2173,2368,1560,808,3 star,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/kse/KSE
Bharatiya Glob,382.90,25145,37813,25891,26784,3 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/bharatiyaglobalinfomedia/BGI03
Bimetal Bearing,11.20,26217,2726,2364,4640,4 star,http://www.moneycontrol.com/india/stockpricequote/bearings/bimetalbearings/BB04
NCC,4.65,17503396,6303053,7577400,3941782,4 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ncc/NCC01
Sical Logistics,67.00,123652,249646,143210,59507,3 star,http://www.moneycontrol.com/india/stockpricequote/trading/sicallogistics/SL15
IP Rings,168.10,15946,4046,3285,2418,5 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/iprings/IPR
JVL Agro Ind,86.50,226516,127763,113455,76806,5 star,http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/jvlagroindustries/JVL01
Supreme Tex,66.10,255395,69799,116341,109450,4 star,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/supremetexmart/STM03
Karur KCP,21.35,8888,3837,2906,1851,5 star,http://www.moneycontrol.com/india/stockpricequote/packaging/karurkcppackagings/KKC
Aro Granite,23.90,37007,93418,72301,66999,3 star,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01
Zicom Security,41.00,1205507,795363,457856,178332,5 star,http://www.moneycontrol.com/india/stockpricequote/electricals/zicomsecuritysystems/ZSS
Manugraph Ind,85.10,75511,26918,23120,15154,5 star,http://www.moneycontrol.com/india/stockpricequote/engineering/manugraphindustries/MI08
KCP,324.60,282033,184913,128300,71409,5 star,http://www.moneycontrol.com/india/stockpricequote/cementmajor/kcp/KCP
Eros Intl,154.30,418279,468970,362338,236949,3 star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM
Honeywell Autom,60.30,2110,808,1689,1199,4 star,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04
Gulf Oil Lubri,6418.80,104208,114929,103412,61670,3 star,http://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricants/GOL01
Ashok Leyland,22.00,17903225,30693039,23226246,16457316,3 star,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL
WABCO India,55.30,17481,20857,14126,8282,3 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/wabcoindia/WAB
DQ Entertain,4291.90,303446,131539,102002,125448,5 star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dqentertainmentinternational/DEI01
Alstom T&D,26.95,278534,502982,319789,198293,3 star,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/alstomtdindia/ATD
Siti Cable,415.25,1108876,909589,628902,433712,5 star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/siticablenetwork/WWI
Pioneer Distill,345.35,540,6488,5054,5735,3 star,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/pioneerdistilleries/PDL
Trent,39.10,40569,36318,33321,19456,5 star,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04
Bosch,1517.35,11289,17939,12174,8059,3 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
Rane Brake,17033.25,3691,7813,6859,5746,3 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/ranebrakelinings/RBL01
Cera Sanitary,324.85,66514,12142,9101,24885,4 star,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18
Techno Electric,295.15,79365,130349,67556,77930,3 star,http://www.moneycontrol.com/india/stockpricequote/electricequipment/technoelectricengineeringcompany/TEE
Dish TV,1798.90,4027935,5938056,4880138,3331735,3 star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dishtvindia/DTV
TTK Healthcare,63.70,23610,24647,17631,19788,3 star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ttkhealthcare/TTK
Castrol,829.65,539616,658375,512015,289156,3 star,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
Honda Siel,41.30,15996,10298,14518,8244,4 star,http://www.moneycontrol.com/india/stockpricequote/electricequipment/hondasielpowerproducts/HSP02
Vipul,670.70,180004,125770,132954,74577,4 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/vipul/V04
Excel Infoways,901.15,19451,17573,17780,13032,4 star,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/excelinfoways/EI07
J. K. Cement,24.95,88451,72474,142555,95828,2 star,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03
Hindalco,212.10,5914642,10921206,9820500,10488469,3 star,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
Bajaj Auto,19.30,412309,280376,271720,235191,5 star,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
