Company, Group, Prev Close (Rs), Current Price (Rs),	Diff Price (Rs)
JaipanIndustrie,B,8.10,8.11,-0.01
VarunShipping,B,8.11,8.23,-0.12
MagnumLtd.,B,9.81,10.00,-0.19
SterlingBiotechLtd,T,8.01,8.46,-0.45
MangalamTimber,B,7.70,8.00,-0.3
AsyaInfrastructure,B,9.44,9.50,-0.06
KGPetrochemLtd.,T,9.24,9.30,-0.06
UniroyalMarine,T,9.51,9.93,-0.42
PrimePropertyDevel,B,9.89,9.90,-0.01
GinniFilaments,T,9.53,9.60,-0.07
PBAInfrastructureL,B,9.65,9.75,-0.1
AaryaGlobalShares,T,7.60,7.65,-0.05
ConartEngineers,B,7.69,7.73,-0.04
MeghmaniOrganicsLt,T,7.71,7.74,-0.03
BurnpurCementLtd.,B,7.56,7.75,-0.19
AlokIndustriesLtd.,B,7.47,7.58,-0.11
RefexRefrigerantsL,T,7.19,7.54,-0.35
IndiacoVenturesLtd,T,6.94,7.28,-0.34
PatspinIndia,T,7.16,7.30,-0.14
VamaIndustriesLtd.,T,6.90,7.00,-0.1
WelspunSyntex,B,6.88,7.05,-0.17
SharpIndustries,T,6.15,7.10,-0.95
PioneerEmb.,B,7.95,7.99,-0.04
SterlingInternation,T,7.90,7.96,-0.06
PrajayEngineers,B,7.68,7.80,-0.12
WhiteDiamondIn,B,7.80,7.85,-0.05
SubexLtd.,B,7.50,7.87,-0.37
SuperSpinning,B,5.11,5.18,-0.07
MBIIntercorp,T,5.19,5.21,-0.02
UdaipurCementWorks,B,5.24,5.49,-0.25
WinsomeDiamonds,B,6.01,6.02,-0.01
SpancoLtd.,B,5.85,6.14,-0.29
NilchemIndustri,B,4.83,5.07,-0.24
FutureMarketNet,B,9.08,9.11,-0.03
SupremeTexMartL,T,8.77,9.10,-0.33
CATTechn.Ltd,B,6.00,6.10,-0.1
IFLPromotersLtd.,T,5.02,5.10,-0.08
LMLLtd.,B,5.06,5.13,-0.07
VaishnoCementC,T,8.87,9.04,-0.17
DotComGlobalLtd.,T,4.81,5.04,-0.23
RajooEngineers,B,5.93,6.19,-0.26
SKumarsNationwide,T,4.99,5.00,-0.01
LogixMicrosys,B,8.40,8.82,-0.42
SanmitInfra,T,6.20,6.40,-0.2
KGNIndustriesLtd.,B,6.32,6.42,-0.1
YbrantDigital,B,6.37,6.49,-0.12
VedavaagSystems,B,8.51,8.75,-0.24
ShreeDigvijay,B,8.68,8.72,-0.04
LancoInfratechLtd.,B,6.57,6.58,-0.01
ChromaticIndia,B,6.26,6.57,-0.31
SilverpointInfratec,M,6.20,6.55,-0.35
PochirajuIndustries,B,6.45,6.61,-0.16
UttamValueSteels,B,6.26,6.65,-0.39
GreycellsEducation,B,8.14,8.54,-0.4
CheslindTextile,B,5.43,5.70,-0.27
SavantInfocomm,T,5.47,5.74,-0.27
DunlopIndia,T,6.67,6.74,-0.07
VippyIndustries,B,6.75,6.80,-0.05
RoyaleManorHot,B,5.80,5.90,-0.1
YashPapers,B,5.79,5.99,-0.2
MaluPaperMills,B,6.60,6.93,-0.33
BartronicsIndiaLtd,B,6.89,6.95,-0.06
SmilaxIndustries,B,5.78,5.88,-0.1
KelltonTechSolutio,B,8.08,8.90,-0.82
AccentiaTechnologie,B,8.82,8.99,-0.17
SankhyaInfo,B,8.55,8.97,-0.42
