Company Name,High,Low,Last Price,Prv Close,Change,% Gain,PositiveBreakOut,API
Cimmco,118.20,114.95,118.20,112.60,5.60,null,null,/india/stockpricequote/diversified/cimmco/CB02 
Ausom Enterp,29.90,29.90,29.90,28.50,1.40,4.97,null,/india/stockpricequote/packaging/ausomenterprise/CE06 
Kalyani Forge,310,310,310,295.50,14.50,4.91,null,/india/stockpricequote/castingsforgings/kalyaniforge/KF02 
Bhansali Eng,22.95,22.95,22.95,21.90,1.05,4.91,null,/india/stockpricequote/petrochemicals/bhansaliengineeringpolymers/BEP 
Zodiac Clothing,270,259.90,268.50,256.80,11.70,4.79,null,/india/stockpricequote/textiles-readymadeapparels/zodiacclothingcompany/ZCC 
Orient Bell,149.85,139,145.50,139.20,6.30,4.56,null,/india/stockpricequote/ceramicsgranite/orientbell/OCI 
Crest Ventures,55.95,55.95,55.95,53.55,2.40,4.53,null,/india/stockpricequote/finance-housing/crestventures/SR 
Vardhman Hold,752,702,752,720.10,31.90,4.48,null,/india/stockpricequote/textiles-spinning-syntheticblended/vardhmanholdings/VH05 
Sonata,171.90,162,170.05,162.90,7.15,4.43,null,/india/stockpricequote/computers-softwaremediumsmall/sonatasoftware/SS42 
Geometric,176.25,168,174.15,167.55,6.60,4.39,null,/india/stockpricequote/computers-software/geometric/G03 
IIFL Holdings,180,174.55,179.30,172.50,6.80,3.94,null,/india/stockpricequote/finance-general/iiflholdings/II15 
Mayur Uniquoter,515,461.10,466.15,448.70,17.45,3.94,null,/india/stockpricequote/plastics/mayuruniquoters/MU 
Va Tech Wabag,1730.60,1676.25,1730.45,1666.75,63.70,3.89,null,/india/stockpricequote/infrastructure-general/vatechwabag/VTW 
Den Networks,119.65,113.40,118.90,114.55,4.35,3.82,null,/india/stockpricequote/mediaentertainment/dennetworks/DN02 
Ruby Mills,289,289,289,278.45,10.55,3.80,null,/india/stockpricequote/textiles-compositemills/rubymills/RM04 
Renaissance Jew,86.40,83.60,84.10,81.05,3.05,3.79,null,/india/stockpricequote/diamondcuttingjewellerypreciousmetals/renaissancejewellery/RJ 
GRUH Finance,252.25,243.40,251.90,243.50,8.40,3.76,null,/india/stockpricequote/finance-housing/gruhfinance/GRU 
JBF Industries,234.80,225,231,223.35,7.65,3.45,null,/india/stockpricequote/textiles-manmade/jbfindustries/JBF 
Aegis Logistics,549.90,520.10,543.95,526.25,17.70,3.43,null,/india/stockpricequote/transportlogistics/aegislogistics/AL9 
Bannariamman,1025,1025,1025,991.85,33.15,3.36,null,/india/stockpricequote/sugar/bannariammansugars/BS07 
Cords Cable Ind,21.80,21.80,21.80,21.10,0.70,3.34,null,/india/stockpricequote/cables-powerothers/cordscableindustries/CCI07 
Sundaram Brake,347.95,330.25,342.40,331.60,10.80,3.32,null,/india/stockpricequote/autoancillaries/sundarambrakelinings/SBL 
Jay BharatMarut,146,141,142,137.70,4.30,3.26,null,/india/stockpricequote/autoancillaries/jaybharatmaruti/JBM 
Torrent Pharma,1122,1093,1122,1088.80,33.20,3.12,null,/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06 
Responsive Ind,126,120.30,123.95,120.30,3.65,3.05,null,/india/stockpricequote/plastics/responsiveindustries/SH10 
Jet Airways,467.80,451.25,465.05,452.30,12.75,3.03,null,/india/stockpricequote/transportlogistics/jetairways/JA01 
Man Infra,43.15,41.90,43.10,41.95,1.15,2.82,null,/india/stockpricequote/constructioncontracting-civil/maninfraconstruction/MI37 
Pitti Laminatio,126,123,124,120.80,3.20,2.74,null,/india/stockpricequote/engineering/pittilaminations/PL 
Deccan Cements,350,349.95,350,341.10,8.90,2.65,null,/india/stockpricequote/cement-mini/deccancements/DC 
Pressman Advt,32,32,32,31.20,0.80,2.61,null,/india/stockpricequote/mediaentertainment/pressmanadvertising/NF07 
Orbit Exports,369,360,364.05,355,9.05,2.56,null,/india/stockpricequote/textiles-weaving/orbitexports/OE 
Redington,129.75,125.55,129.65,126.45,3.20,2.55,null,/india/stockpricequote/computers-hardware/redington(india)/RI37 
Sterling Tools,296,296,296,288.75,7.25,2.53,null,/india/stockpricequote/fasteners/sterlingtools/ST 
Plastiblends,217.70,208.05,217.45,212.15,5.30,2.51,null,/india/stockpricequote/plastics/plastiblendsindia/PI13 
Ruchira Papers,31,30.20,31,30.25,0.75,2.50,null,/india/stockpricequote/paper/ruchirapapers/RP25 
