Scrip Code,Scrip Id,Scrip Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500002,ABB,ABB India Limited,Active,A ,2.00,INE117A01022,Heavy Electrical Equipment,Equity
500008,AMARARAJA,AMARA RAJA BATTERIES LTD.,Active,A ,1.00,INE885A01032,Auto Parts &amp; Equipment,Equity
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.00,INE001A01036,Housing Finance ,Equity
500034,BAJFINANC,Bajaj Finance Limited,Active,A ,10.00,INE296A01016,Finance (including NBFCs),Equity
500040,CENTURYTEX,CENTURY TEXTILES &amp; INDUSTRIES LTD.,Active,A ,10.00,INE055A01016,Cement &amp; Cement Products,Equity
500043,BATA,BATA INDIA LTD.,Active,A ,10.00,INE176A01010,Footwear,Equity
500049,BEL,BHARAT ELECTRONICS LTD.,Active,A ,10.00,INE263A01016,Defence,Equity
500055,BHUSSTEEL,BHUSHAN STEEL LTD.,Active,A ,2.00,INE824B01021,Iron &amp; Steel/Interm.Products,Equity
500084,CESC,CESC LTD.,Active,A ,10.00,INE486A01013,Electric Utilities,Equity
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Auto Parts &amp; Equipment,Equity
500087,CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity
500092,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity
500093,CROMPTON,CROMPTON GREAVES LTD.,Active,A ,2.00,INE067A01029,Heavy Electrical Equipment,Equity
500096,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity
500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Heavy Electrical Equipment,Equity
500104,HPCL,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Refineries/ Petro-Products,Equity
500106,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Institutions,Equity
500109,MRPL,MANGALORE REFINERY &amp; PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Refineries/ Petro-Products,Equity
500111,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,A ,10.00,INE013A01015,Finance (including NBFCs),Equity
500112,SBI,STATE BANK OF INDIA,Active,A ,10.00,INE062A01012,Banks,Equity
500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Iron &amp; Steel/Interm.Products,Equity
500114,TITAN,TITAN INDUSTRIES LTD.,Active,A ,1.00,INE280A01028,Other Apparels &amp; Accessories,Equity
500116,IDBI,IDBI BANK LTD.,Active,A ,10.00,INE008A01015,Banks,Equity
500124,DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.00,INE089A01023,Pharmaceuticals,Equity
500134,ESSAROIL,ESSAR OIL LTD.,Active,A ,10.00,INE011A01019,Integrated Oil &amp; Gas,Equity
500164,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.00,INE233A01035,Commodity Chemicals,Equity
500180,HDFCBANK,HDFC BANK LTD.,Active,A ,2.00,INE040A01026,Banks,Equity
500182,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.00,INE158A01026,2/3 Wheelers,Equity
500188,HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.00,INE267A01025,Zinc,Equity
500209,INFY,INFOSYS LTD.,Active,A ,5.00,INE009A01021,IT Consulting &amp; Software,Equity
500219,JAINIRRIG,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.00,INE175A01038,Plastic Products,Equity
500228,JSWSL,JSW STEEL LTD.,Active,A ,10.00,INE019A01020,Iron &amp; Steel/Interm.Products,Equity
500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5.00,INE237A01028,Banks,Equity
500253,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2.00,INE115A01026,Housing Finance ,Equity
500257,LUPIN,LUPIN LTD.,Active,A ,2.00,INE326A01037,Pharmaceuticals,Equity
500260,MADRASCEM,MADRAS CEMENTS LTD.,Active,A ,1.00,INE331A01037,Cement &amp; Cement Products,Equity
500271,MAX,MAX INDIA LTD.,Active,A ,2.00,INE180A01020,Plastic Products,Equity
500290,MRF,MRF LTD.,Active,A ,10.00,INE883A01011,Auto Tyres &amp; Rubber Products,Equity
500295,SESAGOA,SESA GOA LTD.,Active,A ,1.00,INE205A01025,Iron &amp; Steel/Interm.Products,Equity
500300,GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,10.00,INE047A01013,Textiles,Equity
500302,PEL,PIRAMAL ENTERPRISES LTD.,Active,A ,2.00,INE140A01024,Pharmaceuticals,Equity
500303,ABIRLANUV,ADITYA BIRLA NUVO LTD.,Active,A ,10.00,INE069A01017,Diversified,Equity
500312,ONGC,OIL AND NATURAL GAS CORPORATION LTD.,Active,A ,5.00,INE213A01029,Exploration &amp; Production,Equity
500315,OBC,ORIENTAL BANK OF COMMERCE,Active,A ,10.00,INE141A01014,Banks,Equity
500325,RIL,RELIANCE INDUSTRIES LTD.,Active,A ,10.00,INE002A01018,Integrated Oil &amp; Gas,Equity
500331,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A ,1.00,INE318A01026,Specialty Chemicals,Equity
500359,RANBAXY,RANBAXY LABORATORIES LTD.,Active,A ,5.00,INE015A01028,Pharmaceuticals,Equity
500387,SHREECEM,SHREE CEMENT LTD.,Active,A ,10.00,INE070A01015,Cement &amp; Cement Products,Equity
500390,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Active,A ,10.00,INE036A01016,Electric Utilities,Equity
500400,TATAPOWER,TATA POWER CO.LTD.,Active,A ,1.00,INE245A01021,Electric Utilities,Equity
500410,ACC,ACC LTD.,Active,A ,10.00,INE012A01025,Cement &amp; Cement Products,Equity
500411,THERMAX,THERMAX LTD.,Active,A ,2.00,INE152A01029,Heavy Electrical Equipment,Equity
