CompanyName,CurrentPrice,DayVolume,FiveDayAvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,VolumeRating,EPS,EPSRating,StandaloneProfit,Recommendation,News,API
Vimta Labs,79,41705,70886,69541,64230,3 star,5.99,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vimtalabs/VL04
Vimta Labs,79,41705,70886,69541,64230,3 star,5.99,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vimtalabs/VL04
Gillanders Arbu,70,7642,8909,16859,9281,2 star,2.54,1 star,,,27.11.2014@ Gillanders Arbuthnot acquires 100% stake in Group Developments,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/gillandersarbuthnotco/GAC03
Aro Granite,91,19565,77373,113883,57118,2 star,13.79,1 star,,,10.11.2014@ Aro Granite Industries appoints K Raghavendra Acharya as additional director,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01
Oswal Minerals,25.25,3,981,794,460,3 star,3.40,1 star,Yes,,20.08.2014@ Oswal Minerals standalone Jun '14 sales at Rs 207.26 crore,http://www.moneycontrol.com/india/stockpricequote/miningminerals/oswalminerals/OM02
SKM Egg Product,112.65,685966,143229,107509,189204,4 star,2.58,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM
SKM Egg Product,112.65,685966,143229,107509,189204,4 star,2.58,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM
Gillanders Arbu,70,7642,8909,16859,9281,2 star,2.54,1 star,,,27.11.2014@ Gillanders Arbuthnot acquires 100% stake in Group Developments,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/gillandersarbuthnotco/GAC03
Neo Corp,39.45,65830,92495,108732,78231,2 star,5.19,1 star,Yes,,04.06.2014@ Neo Corp consolidated Mar '14 sales at Rs 369.01 crore,http://www.moneycontrol.com/india/stockpricequote/packaging/neocorpinternational/NS02
Oswal Minerals,25.25,3,981,794,460,3 star,3.40,1 star,Yes,,20.08.2014@ Oswal Minerals standalone Jun '14 sales at Rs 207.26 crore,http://www.moneycontrol.com/india/stockpricequote/miningminerals/oswalminerals/OM02
Aro Granite,91,19565,77373,113883,57118,2 star,13.79,1 star,,,10.11.2014@ Aro Granite Industries appoints K Raghavendra Acharya as additional director,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01
Sical Logistics,167.55,6477,51294,79969,76372,2 star,1.92,1 star,Yes,,31.10.2014@ Sical Logistics consolidated Sep '14 sales at Rs 205.97 crore,http://www.moneycontrol.com/india/stockpricequote/trading/sicallogistics/SL15
Sical Logistics,167.55,6477,51294,79969,76372,2 star,1.92,1 star,Yes,,31.10.2014@ Sical Logistics consolidated Sep '14 sales at Rs 205.97 crore,http://www.moneycontrol.com/india/stockpricequote/trading/sicallogistics/SL15
Motilal Oswal,239.50,246633,34466,33080,36414,4 star,2.84,1 star,Yes,,22.10.2014@ Motilal Oswal consolidated Sep '14 sales at Rs 177.40 crore,http://www.moneycontrol.com/india/stockpricequote/finance-general/motilaloswalfinancialservices/MOF01
Nahar Ent,63,16424,10179,7694,5429,5 star,17.38,1 star,,,27.10.2014@ Nahar Industrial Enterprises: Updates on outcome of AGM,http://www.moneycontrol.com/india/stockpricequote/textiles-compositemills/naharindustrialenterprises/NIE
Motilal Oswal,239.50,246633,34466,33080,36414,4 star,2.84,1 star,Yes,,22.10.2014@ Motilal Oswal consolidated Sep '14 sales at Rs 177.40 crore,http://www.moneycontrol.com/india/stockpricequote/finance-general/motilaloswalfinancialservices/MOF01
Chemfab Alkalie,93,846,9659,10740,10121,2 star,17.93,1 star,,,18.11.2014@ Chemfab Alkalis' company secretary K. Mohamed Ibrahim resigns,http://www.moneycontrol.com/india/stockpricequote/chemicals/chemfabalkalies/CA01
Bombay Burmah,430.50,503263,1112988,688217,384955,3 star,0.73,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/bombayburmahtradingcorporation/BBT
Nahar Ent,63,16424,10179,7694,5429,5 star,17.38,1 star,,,27.10.2014@ Nahar Industrial Enterprises: Updates on outcome of AGM,http://www.moneycontrol.com/india/stockpricequote/textiles-compositemills/naharindustrialenterprises/NIE
Bombay Burmah,430.50,503263,1112988,688217,384955,3 star,0.73,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/bombayburmahtradingcorporation/BBT
Guj State Petro,112.40,3899663,2714876,1764438,1164620,5 star,7.45,1 star,,,25.11.2014@ Motilal Oswal neutral on Gujarat State Petronet,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
Chemfab Alkalie,93,846,9659,10740,10121,2 star,17.93,1 star,,,18.11.2014@ Chemfab Alkalis' company secretary K. Mohamed Ibrahim resigns,http://www.moneycontrol.com/india/stockpricequote/chemicals/chemfabalkalies/CA01
